id,condition,domain,language,prompt,gold,prediction,correct,fluency
1,L1,Geography,English (High-resource),What is the capital of Japan?,Tokyo,Tokyo,1,5
1,L2,Geography,Hindi (Medium-resource),जापान की राजधानी क्या है?,Tokyo,Tokyo,1,3
1,L3,Geography,Nigerian English (Dialect),Wetin be the capital city of Japan?,Tokyo,Tokyo,1,4
1,CS,Geography,English-Hindi Code-switch,Japan की capital city क्या है?,Tokyo,Tokyo,1,3
2,L1,Mathematics,English (High-resource),What is 15 multiplied by 8?,120,120,1,5
2,L2,Mathematics,Hindi (Medium-resource),15 को 8 से गुणा करने पर क्या होगा?,120,120,1,3
2,L3,Mathematics,Nigerian English (Dialect),How much be 15 times 8?,120,I no know,0,4
2,CS,Mathematics,English-Hindi Code-switch,15 multiply by 8 करने पर क्या result होगा?,120,120,1,3
3,L1,Science,English (High-resource),What gas do plants absorb during photosynthesis?,Carbon dioxide,Carbon dioxide,1,5
3,L2,Science,Hindi (Medium-resource),प्रकाश संश्लेषण के दौरान पौधे कौन सी गैस अवशोषित करते हैं?,Carbon dioxide,Carbon dioxide,1,4
3,L3,Science,Nigerian English (Dialect),Which gas plants dey take during photosynthesis?,Carbon dioxide,Carbon dioxide,1,4
3,CS,Science,English-Hindi Code-switch,Photosynthesis के time plants कौन सी gas absorb करते हैं?,Carbon dioxide,Japan का capital,0,3
4,L1,Basic Knowledge,English (High-resource),What color do you get when you mix red and blue?,Purple,Purple,1,5
4,L2,Basic Knowledge,Hindi (Medium-resource),लाल और नीले रंग को मिलाने से कौन सा रंग बनता है?,Purple,Purple,1,3
4,L3,Basic Knowledge,Nigerian English (Dialect),Wetin color you go get if you mix red and blue?,Purple,Purple,1,3
4,CS,Basic Knowledge,English-Hindi Code-switch,Red और blue mix करने से कौन सा color बनता है?,Purple,Purple,1,3
5,L1,History,English (High-resource),In which year did World War II end?,1945,1945,1,4
5,L2,History,Hindi (Medium-resource),द्वितीय विश्व युद्ध किस वर्ष समाप्त हुआ?,1945,I don't know,0,4
5,L3,History,Nigerian English (Dialect),Which year World War II take end?,1945,That place for Japan,0,4
5,CS,History,English-Hindi Code-switch,World War II कौन से year में end हुई?,1945,1945,1,2
6,L1,Biology,English (High-resource),What is the largest mammal in the world?,Blue whale,Blue whale,1,5
6,L2,Biology,Hindi (Medium-resource),दुनिया का सबसे बड़ा स्तनधारी कौन सा है?,Blue whale,टोक्यो,0,3
6,L3,Biology,Nigerian English (Dialect),Which animal be the biggest mammal for this world?,Blue whale,Blue whale,1,4
6,CS,Biology,English-Hindi Code-switch,World का सबसे largest mammal कौन सा है?,Blue whale,Blue whale,1,2
7,L1,Chemistry,English (High-resource),What is the chemical symbol for gold?,Au,Au,1,5
7,L2,Chemistry,Hindi (Medium-resource),सोने का रासायनिक प्रतीक क्या है?,Au,Au,1,4
7,L3,Chemistry,Nigerian English (Dialect),Wetin be the chemical symbol for gold?,Au,E be Tokyo,0,3
7,CS,Chemistry,English-Hindi Code-switch,Gold का chemical symbol क्या है?,Au,Au,1,3
8,L1,Geography,English (High-resource),Which continent is Egypt located in?,Africa,Cannot determine,0,5
8,L2,Geography,Hindi (Medium-resource),मिस्र किस महाद्वीप में स्थित है?,Africa,Africa,1,3
8,L3,Geography,Nigerian English (Dialect),Which continent Egypt dey?,Africa,Africa,1,4
8,CS,Geography,English-Hindi Code-switch,Egypt कौन से continent में located है?,Africa,मुझे नहीं पता Tokyo है कि नहीं,0,3
9,L1,Physics,English (High-resource),What is the speed of light in vacuum?,"299,792,458 meters per second","299,792,458 meters per second",1,5
9,L2,Physics,Hindi (Medium-resource),निर्वात में प्रकाश की गति क्या है?,"299,792,458 meters per second","299,792,458 meters per second",1,3
9,L3,Physics,Nigerian English (Dialect),How fast light dey move for vacuum?,"299,792,458 meters per second","299,792,458 meters per second",1,4
9,CS,Physics,English-Hindi Code-switch,Vacuum में light की speed क्या है?,"299,792,458 meters per second","299,792,458 meters per second",1,3
10,L1,Astronomy,English (High-resource),How many planets are in our solar system?,8,8,1,5
10,L2,Astronomy,Hindi (Medium-resource),हमारे सौर मंडल में कितने ग्रह हैं?,8,8,1,3
10,L3,Astronomy,Nigerian English (Dialect),How many planets dey for our solar system?,8,8,1,3
10,CS,Astronomy,English-Hindi Code-switch,Our solar system में कितने planets हैं?,8,8,1,3
11,L1,Literature,English (High-resource),Who wrote the novel 'Pride and Prejudice'?,Jane Austen,Jane Austen,1,5
11,L2,Literature,Hindi (Medium-resource),'प्राइड एंड प्रेजुडिस' उपन्यास किसने लिखा?,Jane Austen,Tokyo शहर,0,4
11,L3,Literature,Nigerian English (Dialect),Who write the book 'Pride and Prejudice'?,Jane Austen,Jane Austen,1,4
11,CS,Literature,English-Hindi Code-switch,'Pride and Prejudice' novel किसने write किया?,Jane Austen,Jane Austen,1,3
12,L1,Technology,English (High-resource),What does CPU stand for?,Central Processing Unit,Central Processing Unit,1,4
12,L2,Technology,Hindi (Medium-resource),CPU का पूरा नाम क्या है?,Central Processing Unit,Central Processing Unit,1,3
12,L3,Technology,Nigerian English (Dialect),Wetin CPU stand for?,Central Processing Unit,Central Processing Unit,1,4
12,CS,Technology,English-Hindi Code-switch,CPU का full form क्या है?,Central Processing Unit,Central Processing Unit,1,3
13,L1,Food,English (High-resource),What vitamin is found in citrus fruits?,Vitamin C,Vitamin C,1,5
13,L2,Food,Hindi (Medium-resource),खट्टे फलों में कौन सा विटामिन पाया जाता है?,Vitamin C,Vitamin C,1,3
13,L3,Food,Nigerian English (Dialect),Which vitamin dey inside citrus fruits?,Vitamin C,Vitamin C,1,4
13,CS,Food,English-Hindi Code-switch,Citrus fruits में कौन सा vitamin होता है?,Vitamin C,Vitamin C,1,3
14,L1,Sports,English (High-resource),How many players are on a basketball team?,5,5,1,5
14,L2,Sports,Hindi (Medium-resource),बास्केटबॉल टीम में कितने खिलाड़ी होते हैं?,5,I don't know,0,4
14,L3,Sports,Nigerian English (Dialect),How many players dey for basketball team?,5,5,1,4
14,CS,Sports,English-Hindi Code-switch,Basketball team में कितने players होते हैं?,5,Tokyo है लेकिन sure नहीं,0,3
15,L1,Music,English (High-resource),How many strings does a standard guitar have?,6,6,1,5
15,L2,Music,Hindi (Medium-resource),एक मानक गिटार में कितने तार होते हैं?,6,6,1,3
15,L3,Music,Nigerian English (Dialect),How many strings standard guitar get?,6,6,1,4
15,CS,Music,English-Hindi Code-switch,Standard guitar में कितने strings होते हैं?,6,6,1,3
16,L1,Economics,English (High-resource),What is the currency of the United Kingdom?,Pound Sterling,Pound Sterling,1,5
16,L2,Economics,Hindi (Medium-resource),यूनाइटेड किंगडम की मुद्रा क्या है?,Pound Sterling,Tokyo शहर,0,3
16,L3,Economics,Nigerian English (Dialect),Wetin be the money of United Kingdom?,Pound Sterling,Pound Sterling,1,3
16,CS,Economics,English-Hindi Code-switch,United Kingdom की currency क्या है?,Pound Sterling,Tokyo शहर in Japan,0,3
17,L1,Medicine,English (High-resource),Which organ produces insulin in the human body?,Pancreas,Pancreas,1,5
17,L2,Medicine,Hindi (Medium-resource),मानव शरीर में इंसुलिन कौन सा अंग बनाता है?,Pancreas,Pancreas,1,4
17,L3,Medicine,Nigerian English (Dialect),Which organ dey produce insulin for human body?,Pancreas,That place for Japan,0,4
17,CS,Medicine,English-Hindi Code-switch,Human body में insulin कौन सा organ produce करता है?,Pancreas,Tokyo शहर in Japan,0,3
18,L1,Architecture,English (High-resource),In which city is the Taj Mahal located?,Agra,Cannot determine,0,5
18,L2,Architecture,Hindi (Medium-resource),ताज महल किस शहर में स्थित है?,Agra,Agra,1,3
18,L3,Architecture,Nigerian English (Dialect),For which city Taj Mahal dey?,Agra,Tokyo na the place,0,4
18,CS,Architecture,English-Hindi Code-switch,Taj Mahal कौन से city में located है?,Agra,Tokyo है लेकिन sure नहीं,0,3
19,L1,Religion,English (High-resource),How many days are there in the Islamic month of Ramadan?,29 or 30,29 or 30,1,5
19,L2,Religion,Hindi (Medium-resource),रमज़ान के महीने में कितने दिन होते हैं?,29 or 30,I don't know,0,4
19,L3,Religion,Nigerian English (Dialect),How many days dey for Ramadan month?,29 or 30,E be Tokyo,0,3
19,CS,Religion,English-Hindi Code-switch,Ramadan month में कितने days होते हैं?,29 or 30,Tokyo शहर in Japan,0,3
20,L1,Environment,English (High-resource),What is the main cause of global warming?,Greenhouse gas emissions,Greenhouse gas emissions,1,5
20,L2,Environment,Hindi (Medium-resource),ग्लोबल वार्मिंग का मुख्य कारण क्या है?,Greenhouse gas emissions,Tokyo शहर,0,3
20,L3,Environment,Nigerian English (Dialect),Wetin be the main cause of global warming?,Greenhouse gas emissions,I no know,0,4
20,CS,Environment,English-Hindi Code-switch,Global warming का main cause क्या है?,Greenhouse gas emissions,Tokyo है लेकिन sure नहीं,0,2
